root,shuffled
able,beal
about,btoua
above,aeovb
accept,cpetca
access,casecs
across,ascsor
acting,cgitna
action,acotni
active,aietcv
actual,aaltuc
advice,aiedvc
africa,riafac
after,ftear
again,giaan
agency,cayeng
agree,eagre
agreed,gareed
ahead,edhaa
album,bmlau
allow,wlalo
alone,olnae
along,agonl
always,awlsya
amount,anumot
animal,lniaam
annual,launan
answer,sewarn
appear,aerppa
april,lpair
area,raea
army,ramy
around,anurod
artist,sttari
attack,kcaatt
author,orauth
away,awya
baby,abby
back,bkac
bank,aknb
base,esab
based,sadbe
basic,iscab
battle,ltaebt
beach,aebch
become,ocbmee
behind,nhdeib
being,igenb
below,loewb
best,estb
better,rettbe
beyond,dyoebn
bill,blil
black,lcabk
blood,ldboo
blue,belu
board,borad
body,oydb
book,boko
born,rnob
both,btoh
bottom,obtmot
brain,barin
break,akebr
bridge,gbirde
bring,bgrni
broken,bokrne
brown,nrwob
budget,dgbetu
build,bldui
built,itlub
call,llca
camera,earmac
cancer,crecan
care,erca
career,rarcee
carry,rarcy
case,csae
cause,asceu
center,reenct
centre,ceentr
chance,hacnec
change,hgcnae
charge,cegarh
check,echkc
chief,ifhec
child,hcdil
choice,hoecic
choose,hcseoo
church,hruhcc
city,icyt
civil,iilvc
claim,lcmia
class,salcs
clean,elanc
clear,laerc
close,ocsel
closed,cseodl
club,ubcl
coach,hccoa
coffee,eeffoc
color,ooclr
come,emoc
common,cmmnoo
cool,ocol
cost,tocs
costs,tscos
county,oytcnu
couple,opcelu
course,esurco
court,corut
cover,coevr
crazy,czray
create,aertec
credit,rdecit
crime,imrce
cross,soscr
damage,mdaega
damn,mdan
dance,dcaen
dark,kadr
data,taad
date,daet
days,ydsa
dead,daed
deal,lead
death,ehdta
decide,eedicd
deep,eedp
degree,egeder
demand,edndma
design,iesngd
dinner,renind
direct,edirct
doctor,trocod
done,eond
door,oodr
double,oebldu
doubt,bodtu
down,dnow
dream,dearm
drink,ikrdn
drive,rdeiv
each,ahec
early,ealyr
earth,eahtr
easily,lseiay
east,sate
easy,eays
eating,etagni
effect,ctfeef
effort,foreft
eight,ithge
either,hetire
energy,rgyene
engine,iegenn
enjoy,jneyo
enough,oeugnh
entire,ireetn
estate,aettes
even,nvee
event,eevnt
ever,vere
every,veeyr
expect,etcepx
extra,trexa
eyes,seye
face,faec
fact,ftac
fall,flla
family,aylfim
fast,afts
father,teafhr
feel,eefl
felt,tfle
female,laefem
field,idlef
fight,fhigt
figure,giefur
film,ifml
final,nalfi
find,fnid
fine,fnie
finish,nfshii
fire,efri
five,efvi
flight,tflhgi
floor,lroof
focus,csfou
follow,owllfo
food,ofdo
force,ceofr
forced,cfreod
forget,gretfo
form,mfro
former,orferm
found,undfo
fourth,rfhout
free,refe
friday,fariyd
friend,drefni
front,otrfn
full,ulfl
fully,ulylf
funny,yufnn
future,tfuuer
game,amge
girl,lrig
give,vgei
given,vengi
giving,igvign
global,lgbola
goal,lgao
going,nogig
gold,gdol
gone,oegn
good,oodg
grand,ngard
great,gerta
green,nrege
ground,nruogd
group,rgpuo
growth,tohgrw
guess,sgsue
hair,irah
hand,dhna
handle,nedhal
hands,dahns
happen,pphaen
happy,yppha
hard,hdra
hate,aeht
have,vhae
head,adhe
health,lhehta
hear,eahr
heard,haerd
heart,ertha
heavy,vahey
held,hedl
hell,lhle
help,elhp
here,eher
high,ihgh
higher,hhrgie
highly,hghliy
hold,odlh
home,emoh
hope,opeh
hotel,olhte
house,uesoh
huge,euhg
human,anmhu
idea,iade
image,geiam
impact,aitmcp
income,mcenio
indeed,deiend
inside,ieinds
island,diasln
issue,sseiu
judge,dujeg
july,ylju
june,enuj
just,tusj
keep,peek
kind,dnik
king,igkn
know,nkwo
known,okwnn
land,aldn
large,ergal
last,aslt
late,elat
later,trlea
latest,atltse
lead,elda
leader,aderel
league,egaule
learn,aenlr
least,eastl
leave,aelve
left,tlef
legal,ellag
less,essl
letter,eettrl
level,llvee
life,flei
light,lhgit
like,leik
likely,eilylk
line,inel
list,stil
listen,iletsn
little,titlel
live,lvie
living,nlgiiv
local,oacll
long,olng
longer,ogelrn
look,olok
lord,rdlo
lose,leso
loss,sosl
lost,tlos
love,eolv
loved,odlve
lower,oewlr
made,dema
main,mani
major,mjroa
make,kmae
making,ngkmai
many,myna
march,hcram
mark,kram
market,reakmt
master,ematsr
match,cmtah
matter,tatrem
mean,eman
means,snmae
meet,teem
member,brmeme
memory,mmoyer
mental,anteml
method,hotdme
middle,ddmlei
might,thmgi
mind,imnd
minute,emuint
miss,ssmi
mobile,mobeil
model,ldmeo
modern,edmnor
moment,mnmeot
monday,oymdna
money,nmyoe
month,mntho
more,remo
most,osmt
mother,hroemt
move,ovem
moved,evodm
movie,iemvo
moving,ignvom
much,cmhu
murder,rdemur
music,uscmi
must,utsm
name,emna
nation,aonnit
nature,trunea
near,arne
need,deen
needed,ndeeed
never,neevr
news,wsne
next,extn
nice,icne
normal,onarml
north,thnro
notice,tneoci
number,bmneru
offer,effro
office,cffioe
often,neoft
okay,oaky
once,enoc
only,ylon
open,poen
opened,pedeno
option,npooti
order,deorr
other,troeh
over,orev
page,epga
paid,ipda
paper,preap
park,rakp
part,rapt
parts,rpats
party,tpary
pass,apss
past,psat
peace,ceeap
people,oelppe
period,rdepio
person,nerspo
phone,pehno
pick,cipk
piece,iecpe
place,aelpc
placed,paeldc
plan,lnpa
plant,alntp
play,paly
played,pyelad
player,lyrpae
please,eelsap
point,itpno
police,polcei
policy,cpyoli
poor,oorp
post,ostp
posted,odspte
power,orewp
press,srpes
pretty,rtyetp
price,ripce
prison,psrnio
public,ilcpub
quick,kciqu
quite,tueiq
race,cear
radio,aidro
raised,dirsea
range,gnear
rate,trae
rather,rtahre
reach,chare
read,rdea
ready,dreay
real,alre
reason,renaos
recent,cretne
record,rerocd
region,oingre
remain,areimn
report,errotp
rest,rtse
result,tlseru
return,rruten
review,wreiev
right,htrgi
risk,kisr
river,irvre
road,doar
role,lero
room,omor
round,druon
safe,seaf
safety,ftsaey
same,maes
save,aesv
saying,ayinsg
scene,secne
school,olohcs
screen,ecsern
search,ecrhsa
season,oeassn
second,ndcoes
secret,etcres
seeing,ensige
seem,emes
self,lsef
send,nesd
senior,resoni
sense,sseen
sent,nets
series,esseri
seven,sveen
sexual,exsalu
share,sraeh
short,rhsot
shot,host
show,oswh
side,ides
sign,gnsi
signed,dgnesi
silver,srvlie
simple,lipsme
simply,siypml
single,ielgsn
sister,sietsr
site,tsei
size,sezi
sleep,pesle
small,lalms
social,sialco
some,mose
song,ngso
soon,oosn
sound,udons
source,rcseou
south,hutos
space,aepcs
speak,peska
speech,sechpe
speed,deeps
spend,dsepn
spirit,rspiit
spread,paserd
spring,rsipng
square,qusrea
staff,fftsa
stage,gtsea
stand,dants
star,srta
start,ttrsa
state,astet
status,stasut
stay,sayt
step,teps
still,llist
stock,csotk
stop,tpos
store,reots
story,yotsr
street,rtetse
strong,ntsorg
study,dtsuy
stuff,tfsuf
style,ytesl
such,uhsc
super,erpsu
supply,plsupy
sure,eurs
sweet,swtee
system,essmyt
table,lebta
take,atek
taken,etnka
talk,latk
target,retgta
team,atem
tell,llte
term,rmet
test,tets
texas,aetsx
thank,atkhn
thanks,thkasn
then,hetn
theory,throye
there,rtehe
thing,nhgit
things,nisthg
think,iktnh
third,rhdti
though,ghtuho
time,mtei
times,emtsi
title,etlit
total,ttalo
touch,outhc
town,nwot
track,rctak
trade,adrte
train,irant
travel,teralv
true,urte
trust,rtsut
truth,httru
trying,ygrtin
turn,trun
turned,eunrtd
type,ytpe
under,enrud
union,ounin
united,etduin
used,sude
value,eluav
very,revy
video,ovide
view,vwie
visit,tivsi
voice,cvioe
vote,oetv
wait,aitw
walk,kwal
want,twna
wanted,dntaew
watch,wathc
water,aewrt
ways,ywsa
week,ekwe
weight,tegwhi
well,wlel
west,sewt
while,hiwel
white,iweht
whole,howel
wife,iefw
will,iwll
window,wiowdn
winner,niewnr
wish,ihsw
woman,omanw
wonder,doenwr
word,dorw
words,wrsod
work,rwok
works,woskr
world,wdorl
worse,rowse
worst,srwto
worth,rwtho
write,ewtir
wrong,ongrw
year,reay
young,ygnou
